Horizon started successfully.
Horizon started successfully.
[2019-05-18 06:00:11][3283] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 06:00:11][3283] Processing: App\Jobs\ProcessWalletTransactionJob
[2019-05-18 06:00:12][3283] Failed:     App\Jobs\ProcessWalletTransactionJob
[2019-05-18 06:00:12][3250] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:12][3251] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:17][3251] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:17][3252] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:22][3252] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:22][3253] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:29][3253] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:29][3254] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:38][3254] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:38][3255] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:44][3255] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:44][3256] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:54][3256] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:00:54][3257] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:02][3257] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:02][3258] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:07][3258] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:07][3259] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:13][3259] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:13][3260] Processing: App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:17][3260] Processed:  App\Jobs\ProcessWalletJournalJob
[2019-05-18 06:01:17][3261] Processing: App\Jobs\ProcessWalletJournalJob
